"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.03.2023","39,69","40,21","40,24","39,52","18,23M","-1,38%"
"30.03.2023","40,24","40,60","41,00","40,02","27,14M","-0,87%"
"29.03.2023","40,60","39,15","40,65","38,96","48,70M","3,70%"
"28.03.2023","39,15","39,45","39,75","38,91","17,02M","-0,62%"
"27.03.2023","39,40","38,99","39,48","38,92","20,95M","1,26%"
"24.03.2023","38,90","39,29","39,29","38,77","13,86M","-0,64%"
"23.03.2023","39,15","39,35","39,49","38,94","15,02M","-0,50%"
"22.03.2023","39,35","39,49","39,74","39,22","13,83M","-0,62%"
"21.03.2023","39,60","40,28","40,52","39,21","19,53M","-1,39%"
"20.03.2023","40,15","39,89","40,28","39,50","25,53M","0,66%"
"17.03.2023","39,89","40,26","40,92","39,43","32,37M","-0,89%"
"16.03.2023","40,25","40,87","40,87","39,66","29,93M","-1,59%"
"15.03.2023","40,90","41,28","41,61","40,60","12,44M","-0,92%"
"14.03.2023","41,28","41,50","41,50","40,75","13,33M","-0,57%"
"13.03.2023","41,51","42,12","42,67","41,01","24,48M","-1,41%"
"10.03.2023","42,11","41,17","42,27","41,01","22,62M","1,94%"
"09.03.2023","41,31","40,79","41,54","40,46","24,12M","1,59%"
"07.03.2023","40,67","40,08","40,87","39,60","19,41M","1,70%"
"06.03.2023","39,99","39,85","40,09","39,56","16,74M","0,77%"
"03.03.2023","39,68","38,89","39,68","38,74","9,96M","1,90%"
"02.03.2023","38,94","39,60","39,90","38,43","21,41M","-1,34%"
"01.03.2023","39,47","39,16","39,49","39,00","9,53M","1,02%"
"28.02.2023","39,07","39,21","39,51","38,90","11,01M","-0,06%"
"27.02.2023","39,10","38,65","39,37","38,31","14,42M","0,70%"
"24.02.2023","38,83","38,80","39,50","38,26","19,28M","0,06%"
"22.02.2023","38,80","38,31","38,90","38,00","18,47M","1,28%"
"21.02.2023","38,31","36,88","38,51","36,88","26,62M","4,02%"
"20.02.2023","36,83","36,33","37,25","35,81","14,35M","0,81%"
"17.02.2023","36,53","36,35","36,90","35,98","11,18M","0,52%"
"16.02.2023","36,35","35,83","36,73","35,81","13,97M","1,42%"
"15.02.2023","35,83","37,30","37,35","35,26","24,52M","-4,15%"
"14.02.2023","37,38","38,36","38,45","37,12","18,36M","-2,66%"
"13.02.2023","38,40","38,51","38,90","38,35","9,38M","-0,16%"
"10.02.2023","38,47","38,00","38,56","37,96","13,53M","0,85%"
"09.02.2023","38,14","37,60","38,47","37,56","11,61M","0,98%"
"08.02.2023","37,77","38,10","38,40","37,54","12,60M","-0,81%"
"07.02.2023","38,08","38,38","38,63","37,65","12,49M","-0,85%"
"06.02.2023","38,40","38,35","38,79","38,13","19,79M","0,71%"
"03.02.2023","38,13","37,88","38,49","37,21","24,11M","0,49%"
"02.02.2023","37,95","36,79","38,25","36,53","34,13M","3,46%"
"01.02.2023","36,68","36,00","36,83","35,90","20,40M","2,04%"
"31.01.2023","35,94","35,54","35,99","35,28","17,56M","1,35%"
"30.01.2023","35,47","34,40","35,49","34,19","26,99M","3,32%"
"27.01.2023","34,33","33,90","34,39","33,90","6,04M","1,15%"
"26.01.2023","33,94","34,03","34,08","33,76","4,39M","-0,15%"
"25.01.2023","33,99","33,87","34,04","33,60","6,28M","0,22%"
"24.01.2023","33,91","34,13","34,49","33,83","8,79M","-0,41%"
"23.01.2023","34,05","33,73","34,13","33,63","6,56M","0,80%"
"20.01.2023","33,78","33,99","34,15","33,51","12,12M","-0,62%"
"19.01.2023","33,99","34,49","34,56","33,87","8,03M","-1,46%"
"18.01.2023","34,49","34,10","34,69","34,08","7,56M","0,92%"
"17.01.2023","34,18","34,67","34,86","34,03","10,59M","-1,33%"
"16.01.2023","34,64","34,10","34,73","34,10","9,23M","1,66%"
"13.01.2023","34,08","33,80","34,40","33,56","8,26M","0,69%"
"12.01.2023","33,84","33,62","33,92","33,31","8,21M","0,68%"
"11.01.2023","33,61","33,30","33,74","33,18","8,51M","0,96%"
"10.01.2023","33,29","33,17","33,42","32,88","9,15M","0,09%"
"09.01.2023","33,26","33,55","33,55","33,14","7,42M","-0,30%"
"06.01.2023","33,36","33,10","33,44","33,01","3,46M","0,71%"
"05.01.2023","33,13","33,15","33,28","32,90","4,94M","-0,45%"
"04.01.2023","33,28","33,31","33,63","33,03","5,69M","-0,36%"
"03.01.2023","33,40","32,90","33,49","32,72","7,37M","1,61%"
"30.12.2022","32,87","32,25","32,97","32,12","11,05M","2,03%"
"29.12.2022","32,21","32,13","32,35","32,10","3,23M","0,22%"
"28.12.2022","32,14","32,03","32,40","31,82","8,62M","0,00%"
"27.12.2022","32,14","32,26","32,40","32,09","6,21M","0,20%"
"26.12.2022","32,08","31,85","32,13","31,80","6,85M","0,64%"
"23.12.2022","31,87","31,91","32,16","31,64","5,59M","-0,06%"
"22.12.2022","31,89","31,70","32,42","31,52","12,72M","0,13%"
"21.12.2022","31,85","32,53","32,79","31,25","30,60M","-1,88%"
"20.12.2022","32,46","32,95","34,20","32,30","58,10M","-1,43%"
"19.12.2022","32,93","31,60","33,15","31,51","25,96M","4,08%"
"16.12.2022","31,64","31,30","31,72","31,28","10,69M","0,94%"
"15.12.2022","31,34","31,76","31,84","31,05","19,81M","-1,88%"
"14.12.2022","31,94","32,21","32,27","31,77","8,97M","-0,79%"
"13.12.2022","32,20","31,88","32,33","31,48","27,49M","1,02%"
"12.12.2022","31,88","31,72","32,10","31,50","13,56M","1,03%"
"09.12.2022","31,55","31,75","31,96","31,34","14,73M","-0,28%"
"08.12.2022","31,64","31,25","31,86","31,10","21,77M","1,25%"
"07.12.2022","31,25","31,17","31,30","30,75","11,50M","0,14%"
"06.12.2022","31,20","31,28","31,42","31,08","6,85M","-0,08%"
"05.12.2022","31,23","31,31","31,66","31,03","11,46M","-0,03%"
"02.12.2022","31,24","31,55","31,62","31,05","10,52M","-0,87%"
"01.12.2022","31,51","31,65","31,77","31,41","8,49M","-0,16%"
"30.11.2022","31,57","31,66","31,99","31,18","20,67M","-0,11%"
"29.11.2022","31,60","31,05","31,62","30,88","19,04M","2,46%"
"28.11.2022","30,84","30,69","31,10","30,45","13,84M","0,10%"
"25.11.2022","30,81","30,90","31,07","30,46","12,53M","-0,36%"
"24.11.2022","30,92","31,00","31,23","30,77","7,79M","-0,37%"
"23.11.2022","31,03","31,26","31,70","30,83","28,43M","-0,66%"
"22.11.2022","31,24","29,99","31,40","29,79","40,81M","3,99%"
"21.11.2022","30,04","30,19","30,19","29,58","14,95M","-0,36%"
"18.11.2022","30,15","30,06","30,19","29,80","8,67M","-0,03%"
"17.11.2022","30,16","30,51","30,63","29,86","9,70M","-1,13%"
"16.11.2022","30,50","30,07","30,69","29,91","19,31M","2,04%"
"15.11.2022","29,90","31,07","31,30","29,00","29,81M","-3,53%"
"14.11.2022","30,99","31,03","31,65","30,50","23,76M","0,03%"
"11.11.2022","30,98","31,32","31,48","30,60","19,14M","-0,77%"
"10.11.2022","31,22","30,80","31,50","30,40","28,21M","1,41%"
"09.11.2022","30,78","32,00","32,00","30,51","33,19M","-4,65%"
"08.11.2022","32,28","32,99","33,41","32,03","25,75M","-1,97%"
"07.11.2022","32,94","32,14","33,23","31,65","41,81M","4,56%"
"03.11.2022","31,50","30,40","31,50","29,86","33,88M","3,41%"
"02.11.2022","30,46","31,10","31,18","30,02","9,67M","-2,01%"
"01.11.2022","31,08","31,25","31,60","30,58","20,77M","-0,27%"
"31.10.2022","31,17","32,04","32,21","30,80","25,36M","-2,68%"
"28.10.2022","32,03","32,35","32,64","31,63","28,39M","-0,99%"
"27.10.2022","32,35","30,60","32,65","30,32","54,81M","5,91%"
"26.10.2022","30,55","29,90","30,92","29,37","32,41M","2,33%"
"25.10.2022","29,85","29,63","30,09","29,50","25,98M","1,08%"
"24.10.2022","29,53","28,81","29,80","28,33","48,45M","2,52%"
"21.10.2022","28,81","28,00","29,13","27,65","47,64M","2,73%"
"20.10.2022","28,04","26,83","28,24","26,50","45,56M","5,14%"
"19.10.2022","26,67","27,42","27,87","26,22","48,45M","-3,28%"
"18.10.2022","27,58","28,20","28,65","27,34","32,09M","-1,99%"
"17.10.2022","28,14","26,26","28,16","26,24","35,04M","7,57%"
"14.10.2022","26,16","26,10","26,49","25,59","15,73M","0,08%"
"13.10.2022","26,14","26,42","26,80","25,90","15,47M","-1,08%"
"12.10.2022","26,42","26,31","27,28","25,68","22,29M","0,53%"
"11.10.2022","26,28","25,35","26,52","25,17","21,02M","3,67%"
"10.10.2022","25,35","23,64","25,58","23,37","28,62M","5,54%"
"07.10.2022","24,02","24,93","24,93","23,90","14,63M","-3,65%"
"06.10.2022","24,93","25,51","25,98","24,60","12,77M","-1,15%"
"05.10.2022","25,22","25,17","25,44","23,82","25,53M","-0,28%"
"04.10.2022","25,29","26,30","26,30","24,96","22,21M","-2,73%"
"03.10.2022","26,00","24,48","26,19","23,76","33,12M","7,26%"
"30.09.2022","24,24","22,80","24,90","22,18","48,25M","7,19%"
"29.09.2022","22,61","23,18","23,39","22,00","24,73M","-2,46%"
"28.09.2022","23,18","23,40","23,75","22,66","28,23M","-0,96%"
"27.09.2022","23,41","23,44","24,40","21,66","43,48M","1,08%"
"26.09.2022","23,16","24,99","25,24","22,00","51,15M","-9,18%"
"23.09.2022","25,50","28,20","28,23","24,65","56,42M","-9,67%"
"22.09.2022","28,23","27,17","28,35","27,15","16,46M","3,86%"
"21.09.2022","27,18","26,36","27,59","26,00","22,12M","-3,69%"
"20.09.2022","28,22","30,00","30,00","27,36","48,76M","-5,82%"
"19.09.2022","29,97","30,18","30,76","29,65","15,65M","-0,88%"
"16.09.2022","30,23","29,85","30,27","29,50","16,83M","1,49%"
"15.09.2022","29,78","29,27","29,82","29,09","11,82M","1,76%"
"14.09.2022","29,27","29,34","29,40","28,41","11,09M","-0,59%"
"13.09.2022","29,44","29,73","29,90","29,31","10,41M","-0,96%"
"12.09.2022","29,73","28,80","29,90","28,78","14,69M","2,57%"
"09.09.2022","28,99","28,66","29,13","28,60","9,09M","1,13%"
"08.09.2022","28,66","28,75","28,85","28,10","12,63M","-0,30%"
"07.09.2022","28,75","29,00","29,37","28,67","12,35M","-1,46%"
"06.09.2022","29,17","30,40","30,50","28,52","27,46M","-4,05%"
"05.09.2022","30,40","30,08","30,42","29,70","12,47M","1,33%"
"02.09.2022","30,00","29,41","30,10","29,08","13,19M","2,02%"
"01.09.2022","29,41","29,25","29,60","28,80","12,48M","0,63%"
"31.08.2022","29,22","28,53","29,85","28,25","18,46M","3,38%"
"30.08.2022","28,26","28,30","29,07","28,21","26,47M","0,37%"
"29.08.2022","28,16","27,30","28,18","27,30","18,31M","3,23%"
"26.08.2022","27,28","26,79","27,28","26,70","7,50M","1,72%"
"25.08.2022","26,82","26,95","27,17","26,64","10,93M","-0,54%"
"24.08.2022","26,97","27,10","27,30","26,95","5,39M","-0,52%"
"23.08.2022","27,10","26,93","27,47","26,84","11,25M","0,76%"
"22.08.2022","26,90","26,81","27,25","26,58","11,87M","-0,37%"
"19.08.2022","27,00","26,33","27,00","26,01","13,67M","2,23%"
"18.08.2022","26,41","26,68","26,69","26,13","14,11M","-1,18%"
"17.08.2022","26,73","27,10","27,30","26,36","18,88M","-1,38%"
"16.08.2022","27,10","27,20","27,62","26,66","29,44M","0,31%"
"15.08.2022","27,01","25,85","27,14","25,70","29,91M","3,62%"
"12.08.2022","26,07","25,28","26,14","25,00","25,24M","3,12%"
"11.08.2022","25,28","24,75","25,85","24,35","40,02M","2,97%"
"10.08.2022","24,55","24,27","24,95","23,90","29,71M","1,15%"
"09.08.2022","24,27","23,77","24,38","23,42","20,91M","1,93%"
"08.08.2022","23,81","24,17","24,19","23,46","20,11M","1,49%"
"05.08.2022","23,46","24,00","24,24","23,13","30,66M","-1,92%"
"04.08.2022","23,92","24,30","24,30","23,52","36,66M","-0,83%"
"03.08.2022","24,12","23,93","24,90","22,75","154,78M","-9,29%"
"02.08.2022","26,59","27,80","28,18","26,53","37,10M","-4,35%"
"01.08.2022","27,80","26,94","28,10","26,48","73,36M","5,02%"
"29.07.2022","26,47","26,65","26,72","26,02","20,38M","-0,53%"
"28.07.2022","26,61","27,58","27,67","26,51","19,07M","-3,38%"
"27.07.2022","27,54","27,53","28,00","27,17","15,65M","0,29%"
"26.07.2022","27,46","26,95","27,46","26,91","11,90M","2,31%"
"25.07.2022","26,84","26,44","26,91","26,26","10,72M","1,17%"
"22.07.2022","26,53","25,69","26,58","25,55","14,14M","3,13%"
"21.07.2022","25,73","26,16","26,17","25,50","18,60M","-1,72%"
"20.07.2022","26,17","26,55","26,97","25,90","18,73M","-1,45%"
"19.07.2022","26,56","27,11","27,12","26,21","25,38M","-2,03%"
"18.07.2022","27,11","27,80","27,90","27,03","13,96M","-1,40%"
"15.07.2022","27,50","27,90","28,00","26,80","32,99M","-1,70%"
"14.07.2022","27,97","28,45","29,18","27,80","18,93M","-2,03%"
"13.07.2022","28,55","29,90","29,97","28,24","24,27M","-4,80%"
"12.07.2022","29,99","30,75","30,78","29,50","15,34M","-2,49%"
"11.07.2022","30,75","31,65","31,83","30,66","11,84M","-2,37%"
"08.07.2022","31,50","32,23","32,28","31,40","10,06M","-2,33%"
"07.07.2022","32,25","32,20","32,87","31,30","17,11M","0,28%"
"06.07.2022","32,16","31,10","32,69","30,93","22,97M","3,42%"
"05.07.2022","31,09","31,30","31,52","30,83","14,10M","-0,69%"
"04.07.2022","31,31","32,38","32,80","31,30","9,61M","-3,30%"
"01.07.2022","32,38","32,00","32,77","31,32","10,43M","0,89%"
"30.06.2022","32,10","33,49","33,74","31,73","18,18M","-3,92%"
"29.06.2022","33,40","33,01","33,54","31,66","14,31M","1,20%"
"28.06.2022","33,01","33,50","33,75","32,44","11,62M","-1,46%"
"27.06.2022","33,50","33,71","33,75","33,03","13,11M","-1,02%"
"24.06.2022","33,85","34,86","35,32","33,51","18,81M","-2,90%"
"23.06.2022","34,85","33,75","35,14","33,44","12,89M","2,85%"
"22.06.2022","33,89","34,25","34,35","33,24","11,72M","-1,74%"
"21.06.2022","34,49","34,40","34,70","33,55","15,75M","0,55%"
"20.06.2022","34,30","33,35","34,96","33,10","16,10M","3,08%"
"17.06.2022","33,28","33,30","33,60","32,71","10,53M","0,23%"
"16.06.2022","33,20","32,11","33,63","32,11","17,68M","3,52%"
"15.06.2022","32,07","30,80","32,40","30,61","11,47M","4,06%"
"14.06.2022","30,82","30,80","30,99","30,20","5,92M","0,11%"
"10.06.2022","30,78","30,89","31,20","30,41","6,70M","-0,36%"
"09.06.2022","30,90","32,10","32,27","30,70","9,71M","-3,53%"
"08.06.2022","32,03","31,92","32,44","31,50","11,43M","2,06%"
"07.06.2022","31,38","31,48","31,82","29,65","24,32M","-0,30%"
"06.06.2022","31,48","33,22","33,50","31,25","20,24M","-4,68%"
"03.06.2022","33,02","34,87","34,87","31,47","41,63M","-5,36%"
"02.06.2022","34,89","35,73","35,97","34,31","12,23M","-1,86%"
"01.06.2022","35,55","35,71","36,50","35,20","10,92M","-0,45%"
"31.05.2022","35,71","36,95","37,00","35,58","11,36M","-3,36%"
"30.05.2022","36,95","38,50","38,91","36,90","13,99M","-4,63%"
"27.05.2022","38,74","39,03","39,21","38,32","5,81M","-0,44%"
"26.05.2022","38,92","39,00","39,70","38,56","10,46M","-0,73%"
"25.05.2022","39,20","38,70","39,46","38,05","8,01M","2,16%"
"24.05.2022","38,37","41,00","41,10","37,70","24,41M","-6,13%"
"23.05.2022","40,88","43,80","43,80","40,47","12,75M","-5,70%"
"20.05.2022","43,35","45,12","45,55","43,06","8,96M","-3,69%"
"19.05.2022","45,01","45,75","45,75","44,88","4,10M","-1,63%"
"18.05.2022","45,75","44,81","45,87","44,81","8,35M","2,35%"
"17.05.2022","44,70","43,67","44,79","43,56","4,75M","2,68%"
"16.05.2022","43,53","42,56","43,60","42,17","3,76M","1,98%"
"13.05.2022","42,69","43,00","43,19","42,01","2,51M","-0,02%"
"12.05.2022","42,70","44,44","44,48","42,30","3,70M","-3,83%"
"11.05.2022","44,40","43,98","44,70","43,64","3,57M","1,13%"
"06.05.2022","43,90","44,56","44,70","43,83","4,03M","-1,53%"
"05.05.2022","44,58","44,22","44,75","43,88","3,39M","1,32%"
"04.05.2022","44,01","44,84","44,84","43,01","4,43M","-2,06%"
"29.04.2022","44,93","43,76","44,93","43,01","8,28M","2,93%"
"28.04.2022","43,65","43,80","44,20","43,00","10,60M","0,28%"
"27.04.2022","43,53","42,50","43,62","42,00","6,84M","2,48%"
"26.04.2022","42,47","41,51","42,70","41,31","7,07M","2,35%"
"25.04.2022","41,50","42,00","42,03","40,51","5,61M","-1,19%"
"22.04.2022","42,00","41,83","42,34","41,50","10,82M","0,71%"
"21.04.2022","41,71","41,00","41,90","40,50","10,66M","2,98%"
"20.04.2022","40,50","40,00","41,32","39,22","11,46M","1,76%"
"19.04.2022","39,80","39,58","40,00","38,30","12,07M","0,56%"
"18.04.2022","39,58","40,00","40,70","39,00","4,43M","-0,55%"
"15.04.2022","39,80","40,00","40,43","38,31","6,53M","-0,26%"
"14.04.2022","39,90","41,99","42,00","39,60","7,45M","-4,67%"
"13.04.2022","41,86","42,50","42,80","41,53","3,71M","-1,10%"
"12.04.2022","42,33","42,00","42,36","40,60","6,41M","1,01%"
"11.04.2022","41,90","42,86","43,40","41,25","8,99M","-2,29%"
"08.04.2022","42,88","43,99","44,10","42,55","6,45M","-1,90%"
"07.04.2022","43,71","42,84","43,87","42,70","11,32M","2,03%"
"06.04.2022","42,84","42,80","43,28","41,81","9,70M","-0,02%"
"05.04.2022","42,85","45,35","45,67","42,00","19,68M","-5,53%"
"04.04.2022","45,36","46,66","46,88","44,90","16,11M","-0,53%"
"01.04.2022","45,60","45,10","47,45","44,19","32,90M","3,87%"
"31.03.2022","43,90","43,01","45,30","42,67","32,04M","2,09%"
"30.03.2022","43,00","43,01","44,49","42,38","9,57M","2,87%"
"29.03.2022","41,80","42,23","44,80","40,41","10,39M","-1,02%"
"28.03.2022","42,23","43,88","44,44","41,03","10,74M","-3,58%"
"25.03.2022","43,80","49,60","49,60","43,71","10,68M","-8,00%"
"24.03.2022","47,61","46,90","51,24","45,00","90,68M","-0,14%"
"25.02.2022","47,67","48,29","52,88","45,38","46,99M","-1,55%"
"24.02.2022","48,42","53,00","55,00","35,20","104,65M","-15,49%"
"22.02.2022","57,30","52,50","58,89","49,15","126,91M","9,14%"
"21.02.2022","52,50","61,28","63,00","52,03","105,06M","-14,61%"
"18.02.2022","61,49","62,48","63,49","60,52","63,26M","-1,32%"
"17.02.2022","62,31","65,20","65,44","62,10","57,05M","-4,29%"
"16.02.2022","65,10","65,80","66,64","63,96","34,60M","-0,91%"
"15.02.2022","65,70","64,00","66,16","63,80","30,08M","3,40%"
"14.02.2022","63,54","62,30","64,42","60,12","45,74M","1,99%"
"11.02.2022","62,30","64,63","64,69","61,11","45,19M","-3,56%"
"10.02.2022","64,60","66,20","66,56","64,25","36,22M","-2,57%"
"09.02.2022","66,31","63,38","67,07","63,27","53,12M","4,83%"
"08.02.2022","63,25","60,15","63,36","60,00","52,50M","5,17%"
"07.02.2022","60,14","60,00","61,17","59,60","31,68M","0,57%"
"04.02.2022","59,80","61,00","61,50","59,31","38,74M","-1,53%"
"03.02.2022","60,73","61,00","61,92","60,06","33,58M","-1,01%"
"02.02.2022","61,35","60,92","61,91","59,72","31,05M","1,19%"
"01.02.2022","60,63","62,00","62,28","60,00","43,87M","-1,65%"
"31.01.2022","61,65","60,65","62,43","60,44","33,28M","2,15%"
"28.01.2022","60,35","59,20","60,60","58,92","38,98M","2,12%"
"27.01.2022","59,10","55,88","59,56","55,53","49,72M","5,17%"
"26.01.2022","56,19","56,65","58,24","55,40","46,88M","-0,80%"
"25.01.2022","56,65","58,50","59,58","54,78","92,72M","-3,04%"
"24.01.2022","58,42","62,46","62,79","56,73","75,85M","-6,05%"
"21.01.2022","62,19","61,56","63,26","61,04","32,78M","0,30%"
"20.01.2022","62,00","62,92","64,75","61,65","44,00M","-1,45%"
"19.01.2022","62,92","60,07","64,27","57,10","66,45M","4,01%"
"18.01.2022","60,49","64,50","65,07","58,93","68,61M","-6,22%"
"17.01.2022","64,50","66,00","66,29","63,40","33,22M","-2,27%"
"14.01.2022","66,00","67,78","68,08","63,00","52,60M","-2,05%"
"13.01.2022","67,38","67,98","69,61","67,04","42,91M","-0,75%"
"12.01.2022","67,89","67,39","68,16","67,25","38,33M","-2,96%"
"11.01.2022","69,96","69,87","70,64","69,28","41,00M","-0,63%"
"10.01.2022","70,40","71,80","71,80","70,18","37,94M","-1,08%"
"06.01.2022","71,17","68,18","71,25","67,38","24,86M","2,88%"
"05.01.2022","69,18","71,32","72,00","67,81","23,47M","-3,12%"
"04.01.2022","71,40","70,90","71,92","70,65","16,82M","0,80%"
"03.01.2022","70,83","69,65","70,87","69,65","12,30M","1,70%"
"30.12.2021","69,65","68,76","69,96","68,29","19,73M","1,29%"
"29.12.2021","68,76","69,07","69,20","68,17","15,92M","-0,36%"
"28.12.2021","69,01","68,36","69,73","68,15","22,89M","0,96%"
"27.12.2021","68,36","66,74","68,40","66,47","17,70M","2,42%"
"24.12.2021","66,74","66,80","67,00","65,62","15,37M","0,12%"
"23.12.2021","66,66","66,52","67,11","66,05","20,29M","0,60%"
"22.12.2021","66,26","65,40","66,97","64,80","21,11M","1,88%"
"21.12.2021","65,04","65,25","66,10","64,50","22,02M","-0,16%"
"20.12.2021","65,14","64,99","65,77","63,81","25,98M","0,43%"
"17.12.2021","64,86","63,24","64,96","63,00","22,79M","2,29%"
"16.12.2021","63,40","63,00","64,42","62,60","33,58M","1,35%"
"15.12.2021","62,56","61,39","62,95","60,93","29,75M","2,32%"
"14.12.2021","61,14","61,78","62,77","56,99","32,40M","-0,92%"
"13.12.2021","61,71","65,00","65,00","61,46","27,15M","-3,88%"
"10.12.2021","64,20","63,94","64,44","62,63","23,42M","0,67%"
"09.12.2021","63,78","62,33","63,94","61,96","31,14M","2,61%"
"08.12.2021","62,15","61,90","63,15","61,50","34,58M","0,93%"
"07.12.2021","61,58","61,81","62,47","60,90","21,09M","0,06%"
"06.12.2021","61,54","62,69","63,67","60,83","18,22M","-1,45%"
"03.12.2021","62,45","62,69","63,17","62,33","26,47M","-0,06%"
"02.12.2021","62,49","60,67","62,68","60,13","30,53M","3,80%"
"01.12.2021","60,20","60,20","60,88","59,33","37,79M","0,91%"
"30.11.2021","59,66","59,90","60,79","58,81","41,43M","-2,51%"
"29.11.2021","61,19","62,00","62,20","60,88","28,57M","0,06%"
"26.11.2021","61,16","61,50","62,38","61,10","17,04M","-2,70%"
"25.11.2021","62,86","62,81","63,20","62,58","7,65M","0,69%"
"24.11.2021","62,43","63,42","63,49","62,33","16,86M","-1,12%"
"23.11.2021","63,13","62,21","63,38","60,61","56,67M","1,12%"
"22.11.2021","62,44","64,20","64,20","62,13","23,64M","-2,64%"
"19.11.2021","64,13","65,49","65,63","62,68","35,65M","-1,75%"
"18.11.2021","65,27","62,24","65,39","61,97","55,72M","5,18%"
"17.11.2021","62,06","61,80","62,36","61,44","18,96M","0,32%"
"16.11.2021","61,86","63,01","63,29","61,67","37,44M","-1,78%"
"15.11.2021","62,98","63,47","63,98","62,80","29,90M","-0,90%"
"12.11.2021","63,56","63,85","64,22","62,62","21,34M","-0,72%"
"11.11.2021","64,01","64,02","64,29","63,35","19,64M","0,26%"
"10.11.2021","63,85","64,60","65,13","63,50","18,98M","-1,16%"
"09.11.2021","64,60","64,59","65,94","63,75","28,96M","0,47%"
"08.11.2021","64,30","63,62","64,47","63,62","18,46M","0,96%"
"05.11.2021","63,69","65,00","65,00","63,13","27,94M","-2,25%"
"03.11.2021","65,15","65,21","65,55","64,80","17,14M","-0,42%"
"02.11.2021","65,43","67,20","67,49","65,35","26,56M","-2,58%"
"01.11.2021","67,17","66,30","67,26","65,89","16,50M","1,87%"
"29.10.2021","65,93","65,87","66,62","64,65","38,00M","-0,57%"
"28.10.2021","66,31","67,31","67,35","65,18","44,44M","-1,78%"
"27.10.2021","67,51","68,68","68,70","67,41","22,74M","-1,45%"
"26.10.2021","68,50","68,00","69,18","67,25","36,17M","-0,03%"
"25.10.2021","68,52","71,25","71,25","67,95","64,27M","-2,41%"
"22.10.2021","70,21","70,13","70,82","69,83","30,69M","-0,16%"
"21.10.2021","70,32","69,01","71,39","69,01","51,94M","1,46%"
"20.10.2021","69,31","70,14","70,19","68,21","40,02M","-1,06%"
"19.10.2021","70,05","70,28","70,97","69,42","40,78M","0,17%"
"18.10.2021","69,93","68,50","70,34","67,54","33,60M","2,22%"
