"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"15.10.2021","68,41","70,01","70,01","67,88","31,92M","-1,62%"
"14.10.2021","69,54","70,19","70,35","68,65","29,10M","0,01%"
"13.10.2021","69,53","71,70","71,77","69,10","44,36M","-2,88%"
"12.10.2021","71,59","72,21","72,30","71,22","29,39M","-1,09%"
"11.10.2021","72,38","71,67","72,82","71,67","39,71M","1,32%"
"08.10.2021","71,44","69,59","72,47","69,25","47,77M","2,05%"
"07.10.2021","70,00","69,80","71,96","69,13","76,24M","0,32%"
"06.10.2021","69,78","67,50","69,90","66,34","68,03M","3,49%"
"05.10.2021","67,43","67,14","67,77","65,51","56,27M","0,39%"
"04.10.2021","67,16","69,66","69,81","66,43","46,11M","-3,61%"
"01.10.2021","69,68","68,10","69,86","67,22","31,70M","1,90%"
"30.09.2021","68,38","69,68","70,10","67,85","25,83M","-1,23%"
"29.09.2021","69,22","70,64","71,08","68,36","33,54M","-2,01%"
"28.09.2021","70,64","72,59","72,63","70,25","30,22M","-2,68%"
"27.09.2021","72,59","73,88","74,07","72,11","35,74M","-0,75%"
"24.09.2021","73,14","73,00","74,13","72,05","100,60M","-4,88%"
"23.09.2021","76,89","78,39","78,90","75,50","89,08M","-1,84%"
"22.09.2021","78,33","75,20","78,33","75,00","67,66M","4,34%"
"21.09.2021","75,07","72,63","75,68","72,21","61,96M","4,04%"
"20.09.2021","72,15","73,61","73,64","71,51","40,80M","-2,59%"
"17.09.2021","74,07","75,79","76,00","73,82","33,64M","-2,81%"
"16.09.2021","76,21","76,65","77,32","74,84","24,12M","-0,23%"
"15.09.2021","76,39","75,96","76,86","73,85","42,08M","0,38%"
"14.09.2021","76,10","78,00","79,65","75,32","79,88M","-2,57%"
"13.09.2021","78,11","78,60","78,72","77,05","25,47M","-0,17%"
"10.09.2021","78,25","75,99","78,47","75,22","29,68M","4,03%"
"09.09.2021","75,21","77,48","77,70","75,10","26,33M","-3,56%"
"08.09.2021","77,99","79,18","79,18","77,75","19,33M","-1,08%"
"07.09.2021","78,85","79,44","79,78","78,05","24,70M","-0,46%"
"06.09.2021","79,21","76,56","79,51","76,18","28,95M","3,31%"
"03.09.2021","76,67","76,93","77,75","75,54","34,71M","-0,33%"
"02.09.2021","76,92","76,05","77,18","75,26","45,42M","1,22%"
"01.09.2021","75,99","73,96","76,00","72,69","40,63M","2,90%"
"31.08.2021","73,85","71,70","74,00","71,44","36,32M","3,36%"
"30.08.2021","71,44","71,43","71,87","70,86","13,05M","0,09%"
"27.08.2021","71,38","71,52","71,69","70,67","14,32M","-0,21%"
"26.08.2021","71,53","71,80","72,48","70,78","30,88M","-0,45%"
"25.08.2021","71,86","69,85","72,20","69,68","34,36M","2,89%"
"24.08.2021","69,83","69,00","69,90","69,00","17,57M","1,01%"
"23.08.2021","69,14","68,94","69,47","68,29","21,29M","0,66%"
"20.08.2021","68,69","66,64","68,69","66,36","28,44M","3,58%"
"19.08.2021","66,32","66,49","66,78","65,80","19,19M","-0,65%"
"18.08.2021","66,75","67,30","67,57","66,52","12,70M","-0,73%"
"17.08.2021","67,24","68,00","68,43","67,18","12,01M","-1,41%"
"16.08.2021","68,20","68,30","68,70","67,77","12,93M","-0,50%"
"13.08.2021","68,54","68,90","69,03","68,31","7,43M","-0,31%"
"12.08.2021","68,75","68,99","69,09","68,40","12,18M","-0,11%"
"11.08.2021","68,83","69,21","69,30","68,17","14,39M","-0,03%"
"10.08.2021","68,85","67,70","69,15","67,26","20,71M","1,95%"
"09.08.2021","67,53","68,13","68,38","67,00","26,58M","-1,58%"
"06.08.2021","68,61","70,24","70,45","68,50","21,76M","-2,31%"
"05.08.2021","70,24","69,98","70,29","69,75","12,12M","0,36%"
"04.08.2021","69,98","69,23","70,10","69,14","21,36M","1,19%"
"03.08.2021","69,15","69,25","69,49","68,78","13,81M","0,01%"
"02.08.2021","69,14","68,92","69,39","68,55","18,09M","0,51%"
"30.07.2021","68,79","69,25","69,25","68,13","22,75M","-0,80%"
"29.07.2021","69,35","68,85","69,70","68,70","19,10M","0,73%"
"28.07.2021","68,85","68,61","69,79","68,27","56,06M","0,64%"
"27.07.2021","68,41","67,00","68,59","67,00","50,55M","1,84%"
"26.07.2021","67,18","66,20","67,28","65,77","37,83M","0,86%"
"23.07.2021","66,60","65,53","66,60","65,50","45,45M","1,99%"
"22.07.2021","65,30","64,52","65,89","64,42","57,98M","1,95%"
"21.07.2021","64,05","63,20","64,39","63,17","40,27M","1,64%"
"20.07.2021","63,01","62,49","63,36","61,72","44,74M","1,65%"
"19.07.2021","61,99","61,99","62,42","60,18","40,69M","-0,02%"
"16.07.2021","62,00","63,00","63,80","61,81","28,76M","-1,34%"
"15.07.2021","62,84","62,06","63,18","61,56","17,84M","1,22%"
"14.07.2021","62,08","63,04","63,90","61,83","36,78M","-1,27%"
"13.07.2021","62,88","61,10","62,97","60,91","35,50M","2,91%"
"12.07.2021","61,10","61,24","61,24","60,00","13,48M","0,49%"
"09.07.2021","60,80","58,70","61,08","58,56","36,31M","4,11%"
"08.07.2021","58,40","58,96","59,65","58,09","16,67M","-0,96%"
"07.07.2021","58,97","57,81","59,05","57,42","29,05M","2,41%"
"06.07.2021","57,58","59,00","59,27","57,30","35,08M","-2,53%"
"05.07.2021","59,08","59,71","59,90","58,92","14,17M","-1,12%"
"02.07.2021","59,74","60,00","60,24","59,34","14,12M","-0,38%"
"01.07.2021","59,97","60,60","61,19","59,72","27,41M","-1,02%"
"30.06.2021","60,58","58,92","60,76","58,53","30,33M","2,88%"
"29.06.2021","58,89","60,19","60,19","58,51","23,32M","-2,17%"
"28.06.2021","60,19","59,92","60,59","59,53","31,57M","0,43%"
"25.06.2021","59,94","61,17","61,17","59,14","59,15M","-1,99%"
"24.06.2021","61,16","63,79","64,36","59,75","77,86M","-3,72%"
"23.06.2021","63,52","62,84","64,12","62,84","31,27M","0,98%"
"22.06.2021","62,90","63,87","64,00","62,32","16,61M","-1,27%"
"21.06.2021","63,72","63,01","64,04","61,81","34,14M","0,70%"
"18.06.2021","63,28","63,53","63,94","61,67","62,86M","-0,41%"
"17.06.2021","63,53","64,44","64,63","63,15","30,33M","-1,50%"
"16.06.2021","64,50","64,57","65,32","64,17","51,37M","-3,72%"
"15.06.2021","67,00","67,65","68,19","66,44","41,43M","-0,89%"
"14.06.2021","67,60","68,13","68,75","67,06","27,39M","-0,62%"
"11.06.2021","68,02","67,68","68,59","66,40","49,91M","0,77%"
"10.06.2021","67,50","66,00","67,50","65,78","47,71M","2,66%"
"09.06.2021","65,75","64,47","65,86","63,78","33,29M","1,85%"
"08.06.2021","64,56","64,90","65,61","64,20","21,84M","-0,22%"
"07.06.2021","64,70","64,44","64,89","63,56","20,54M","0,40%"
"04.06.2021","64,44","64,98","64,99","63,60","21,84M","-0,83%"
"03.06.2021","64,98","65,85","65,97","64,41","20,24M","-1,13%"
"02.06.2021","65,72","64,14","65,73","64,01","36,33M","2,67%"
"01.06.2021","64,01","63,29","64,10","62,76","27,46M","1,33%"
"31.05.2021","63,17","62,54","63,20","61,82","21,85M","0,21%"
"28.05.2021","63,03","63,58","63,60","62,46","23,50M","-0,70%"
"27.05.2021","63,48","64,15","64,35","63,00","24,52M","-1,66%"
"26.05.2021","64,55","65,39","66,05","63,46","42,96M","-1,17%"
"25.05.2021","65,32","65,24","65,58","64,90","11,59M","0,15%"
"24.05.2021","65,22","65,50","65,71","64,61","21,21M","-0,58%"
"21.05.2021","65,60","65,45","66,29","64,93","44,35M","0,31%"
"20.05.2021","65,40","62,47","65,65","62,46","46,07M","3,95%"
"19.05.2021","62,92","63,81","64,09","62,10","36,78M","-1,85%"
"18.05.2021","64,10","63,28","65,13","62,71","35,06M","1,30%"
"17.05.2021","63,28","63,97","63,97","62,55","13,36M","-0,66%"
"14.05.2021","63,70","63,50","63,90","62,30","18,70M","0,58%"
"13.05.2021","63,33","63,28","63,51","61,60","33,54M","0,01%"
"12.05.2021","63,33","63,80","64,22","63,33","16,21M","-0,79%"
"11.05.2021","63,83","64,00","64,60","63,00","27,56M","-1,00%"
"10.05.2021","64,47","65,50","65,87","64,05","38,78M","-1,50%"
"07.05.2021","65,46","65,18","65,75","64,81","29,07M","0,62%"
"06.05.2021","65,05","65,58","65,94","64,13","35,87M","-0,82%"
"05.05.2021","65,58","65,13","65,79","64,08","34,66M","0,47%"
"04.05.2021","65,28","65,19","66,09","64,50","36,52M","0,02%"
"30.04.2021","65,26","66,47","66,93","64,84","28,13M","-2,31%"
"29.04.2021","66,81","66,94","67,75","65,93","38,40M","0,21%"
"28.04.2021","66,67","65,30","67,00","65,26","91,10M","1,55%"
"27.04.2021","65,65","69,35","69,36","64,64","159,75M","-5,18%"
"26.04.2021","69,24","70,51","71,88","68,32","40,91M","-1,54%"
"23.04.2021","70,32","69,67","70,47","68,50","25,00M","1,93%"
"22.04.2021","68,99","68,47","70,14","67,56","41,09M","0,88%"
"21.04.2021","68,39","67,17","68,74","66,72","64,17M","1,44%"
"20.04.2021","67,42","68,78","69,79","66,82","40,94M","-1,84%"
"19.04.2021","68,68","69,15","71,38","67,27","98,77M","-0,21%"
"16.04.2021","68,82","65,79","68,91","65,42","41,64M","5,08%"
"15.04.2021","65,50","64,40","65,79","64,04","15,70M","1,24%"
"14.04.2021","64,69","65,50","65,79","63,66","33,20M","-0,90%"
"13.04.2021","65,28","65,04","66,50","64,50","44,87M","0,75%"
"12.04.2021","64,79","61,95","65,00","61,60","37,27M","4,53%"
"09.04.2021","61,99","62,01","62,40","61,18","29,54M","-0,30%"
"08.04.2021","62,17","61,90","62,96","61,27","36,32M","0,61%"
"07.04.2021","61,79","60,00","61,85","58,94","58,90M","2,37%"
"06.04.2021","60,37","60,17","60,95","59,44","29,92M","0,46%"
"05.04.2021","60,09","59,50","60,42","58,38","25,36M","0,75%"
"02.04.2021","59,65","59,60","60,36","59,38","12,61M","-0,10%"
"01.04.2021","59,71","61,30","61,55","59,12","39,57M","-1,94%"
"31.03.2021","60,88","58,70","61,99","58,49","65,85M","4,15%"
"30.03.2021","58,46","57,51","58,78","57,50","39,96M","1,47%"
"29.03.2021","57,62","55,99","58,13","55,67","54,46M","2,81%"
"26.03.2021","56,04","54,00","56,21","54,00","42,65M","4,15%"
"25.03.2021","53,81","53,60","54,43","53,38","21,80M","0,62%"
"24.03.2021","53,47","53,08","53,95","52,80","16,47M","0,93%"
"23.03.2021","52,98","53,65","53,74","52,90","11,28M","-1,49%"
"22.03.2021","53,78","54,54","54,60","53,33","23,34M","-1,14%"
"19.03.2021","54,40","53,94","54,70","53,50","23,77M","1,47%"
"18.03.2021","53,61","54,25","55,10","53,17","33,98M","-1,42%"
"17.03.2021","54,38","55,22","55,43","53,60","28,04M","-1,66%"
"16.03.2021","55,30","55,79","55,79","54,72","19,94M","-0,90%"
"15.03.2021","55,80","55,95","56,40","55,16","26,17M","0,19%"
"12.03.2021","55,69","55,29","56,09","54,53","27,40M","1,27%"
"11.03.2021","54,99","53,92","55,20","53,60","32,44M","2,58%"
"10.03.2021","53,61","53,26","53,94","52,77","17,20M","0,39%"
"09.03.2021","53,40","54,74","55,30","52,60","32,25M","-2,31%"
"05.03.2021","54,66","54,51","54,69","53,45","27,16M","0,48%"
"04.03.2021","54,40","56,20","56,42","54,10","32,05M","-3,10%"
"03.03.2021","56,14","55,11","56,66","55,03","41,93M","2,14%"
"02.03.2021","54,97","55,00","55,40","54,37","25,62M","-0,25%"
"01.03.2021","55,10","54,50","55,19","53,70","29,60M","1,65%"
"26.02.2021","54,21","52,55","54,80","52,04","57,75M","2,10%"
"25.02.2021","53,09","52,51","54,22","51,54","57,31M","1,05%"
"24.02.2021","52,54","52,92","52,92","51,80","31,75M","-1,04%"
"22.02.2021","53,09","52,44","53,66","51,68","26,90M","1,51%"
"20.02.2021","52,30","52,00","52,70","51,69","9,04M","1,10%"
"19.02.2021","51,73","50,90","52,10","49,90","27,75M","1,25%"
"18.02.2021","51,09","52,17","52,17","50,71","14,07M","-2,02%"
"17.02.2021","52,15","52,50","53,29","51,50","30,92M","-0,52%"
"16.02.2021","52,42","52,00","52,95","51,50","20,77M","1,15%"
"15.02.2021","51,82","52,22","53,13","51,29","21,11M","-0,52%"
"12.02.2021","52,09","51,49","52,10","49,14","38,00M","1,24%"
"11.02.2021","51,45","51,83","51,87","51,26","17,05M","-0,69%"
"10.02.2021","51,81","51,86","51,99","51,46","15,02M","-0,06%"
"09.02.2021","51,83","52,35","52,38","51,33","25,15M","-0,80%"
"08.02.2021","52,26","52,28","52,53","51,36","28,33M","0,22%"
"05.02.2021","52,14","53,18","53,18","51,45","32,14M","-1,76%"
"04.02.2021","53,08","53,49","53,65","52,71","22,67M","-0,75%"
"03.02.2021","53,47","53,00","53,55","52,90","16,96M","0,89%"
"02.02.2021","53,01","53,70","54,12","52,89","36,99M","-1,09%"
"01.02.2021","53,59","52,15","53,73","52,00","49,65M","3,27%"
"29.01.2021","51,90","51,77","52,19","50,88","50,34M","-0,50%"
"28.01.2021","52,15","52,87","52,98","51,58","49,97M","-1,66%"
"27.01.2021","53,03","54,58","54,71","52,83","41,00M","-2,53%"
"26.01.2021","54,41","54,26","54,70","53,67","25,23M","-0,78%"
"25.01.2021","54,83","55,28","55,91","53,81","30,16M","-0,79%"
"22.01.2021","55,27","55,79","56,00","53,83","48,17M","-1,05%"
"21.01.2021","55,85","57,19","57,24","55,15","49,84M","-2,12%"
"20.01.2021","57,06","57,50","57,69","56,78","20,40M","-0,45%"
"19.01.2021","57,33","57,01","57,50","56,85","26,92M","0,82%"
"18.01.2021","56,86","56,13","57,50","55,57","32,98M","1,08%"
"15.01.2021","56,25","57,12","57,75","56,06","42,94M","-1,22%"
"14.01.2021","56,94","54,59","57,22","53,90","89,44M","4,10%"
"13.01.2021","54,70","55,50","55,80","53,82","77,33M","-5,38%"
"12.01.2021","57,81","57,78","58,21","57,42","48,47M","-0,18%"
"11.01.2021","57,92","57,70","58,35","57,11","39,09M","0,39%"
"08.01.2021","57,69","56,85","57,70","56,81","34,47M","1,64%"
"06.01.2021","56,76","57,00","57,20","56,40","19,28M","-0,42%"
"05.01.2021","57,00","57,15","57,28","56,35","25,54M","0,12%"
"04.01.2021","56,93","56,00","57,20","56,00","29,12M","1,96%"
"30.12.2020","55,83","57,12","57,66","55,23","47,33M","-1,91%"
"29.12.2020","56,92","58,29","58,76","55,02","73,76M","-2,58%"
"28.12.2020","58,43","58,01","59,09","56,58","49,01M","0,84%"
"25.12.2020","57,94","56,31","57,99","56,31","32,70M","2,90%"
"24.12.2020","56,31","54,80","56,90","54,76","46,45M","2,90%"
"23.12.2020","54,72","53,50","54,75","53,17","33,50M","2,34%"
"22.12.2020","53,47","51,49","53,75","51,26","42,47M","2,88%"
"21.12.2020","51,98","52,20","52,39","50,22","41,04M","-0,99%"
"18.12.2020","52,50","52,80","53,19","51,43","29,40M","-0,96%"
"17.12.2020","53,01","53,20","53,77","52,62","47,81M","0,40%"
"16.12.2020","52,80","51,90","53,40","50,87","60,54M","1,66%"
"15.12.2020","51,94","50,70","52,36","50,63","48,12M","1,94%"
"14.12.2020","50,95","48,86","51,88","48,72","54,15M","4,34%"
"11.12.2020","48,83","48,42","49,28","48,26","21,41M","1,35%"
"10.12.2020","48,18","47,06","48,93","47,01","49,45M","2,51%"
"09.12.2020","47,00","47,31","47,92","46,88","36,43M","-0,88%"
"08.12.2020","47,42","47,52","49,62","46,10","98,76M","-0,17%"
"07.12.2020","47,49","44,81","47,80","44,69","74,21M","5,92%"
"04.12.2020","44,84","44,60","45,24","44,21","37,41M","1,00%"
"03.12.2020","44,40","45,40","45,49","43,90","48,24M","-1,98%"
"02.12.2020","45,29","43,58","45,42","43,50","64,13M","3,88%"
"01.12.2020","43,60","43,50","43,99","42,51","75,49M","0,28%"
"30.11.2020","43,48","42,69","44,07","41,07","287,90M","1,47%"
"27.11.2020","42,85","42,81","43,15","42,13","35,49M","0,41%"
"26.11.2020","42,67","42,69","43,04","42,25","20,04M","0,36%"
"25.11.2020","42,52","42,10","42,62","41,83","21,57M","0,95%"
"24.11.2020","42,12","41,92","42,28","41,80","16,93M","0,48%"
"23.11.2020","41,92","41,82","42,42","41,47","17,41M","0,34%"
"20.11.2020","41,78","41,83","42,08","41,49","14,76M","-0,70%"
"19.11.2020","42,08","41,79","42,76","41,58","26,26M","0,53%"
"18.11.2020","41,85","42,50","42,99","41,67","29,44M","-1,66%"
"17.11.2020","42,56","43,00","43,46","42,10","34,12M","-1,02%"
"16.11.2020","43,00","41,98","43,08","41,70","37,83M","3,22%"
"13.11.2020","41,66","40,85","41,91","40,68","22,42M","1,98%"
"12.11.2020","40,85","41,07","42,10","40,10","54,86M","-0,54%"
"11.11.2020","41,07","38,58","41,70","38,13","110,07M","4,90%"
"10.11.2020","39,15","39,20","39,79","38,90","38,30M","-0,10%"
"09.11.2020","39,19","39,24","39,53","38,26","57,69M","0,38%"
"06.11.2020","39,04","38,78","39,13","38,31","34,66M","0,62%"
"05.11.2020","38,80","39,06","39,71","38,20","44,26M","0,26%"
"03.11.2020","38,70","37,80","39,00","37,80","41,70M","2,38%"
"02.11.2020","37,80","37,19","38,27","36,90","29,44M","1,64%"
"30.10.2020","37,19","36,14","37,66","35,69","35,08M","2,10%"
"29.10.2020","36,42","35,92","36,63","35,56","26,60M","2,55%"
"28.10.2020","35,52","35,88","36,08","35,30","27,08M","-1,20%"
"27.10.2020","35,95","36,83","36,92","35,73","26,06M","-2,14%"
"26.10.2020","36,74","37,07","37,31","36,51","18,79M","-1,44%"
"23.10.2020","37,27","37,22","37,53","37,18","22,31M","-0,77%"
"22.10.2020","37,56","36,38","37,60","36,27","46,36M","3,49%"
"21.10.2020","36,29","35,65","36,42","35,65","21,86M","1,95%"
"20.10.2020","35,60","34,94","35,63","34,83","15,03M","2,09%"
"19.10.2020","34,87","35,13","35,25","34,60","12,65M","-0,16%"
"16.10.2020","34,92","34,88","35,44","34,53","18,66M","0,23%"
"15.10.2020","34,85","35,50","35,65","34,58","25,42M","-1,86%"
"14.10.2020","35,51","35,12","35,56","35,12","15,81M","0,72%"
"13.10.2020","35,25","36,07","36,35","35,05","25,25M","-2,31%"
"12.10.2020","36,08","35,94","36,25","35,66","21,85M","0,63%"
"09.10.2020","35,86","36,70","36,70","35,63","31,43M","-2,02%"
"08.10.2020","36,60","36,89","36,94","36,38","18,64M","-0,53%"
"07.10.2020","36,79","37,28","37,31","36,42","20,29M","-0,86%"
"06.10.2020","37,12","37,66","38,05","37,08","25,04M","-1,33%"
"05.10.2020","37,62","38,30","38,35","37,28","30,50M","-1,79%"
"02.10.2020","38,30","38,15","38,47","37,63","10,11M","0,39%"
"01.10.2020","38,15","38,83","38,98","38,13","11,46M","-1,24%"
"30.09.2020","38,63","38,76","39,15","38,49","13,60M","-1,35%"
"29.09.2020","39,16","38,91","39,35","38,21","15,17M","0,54%"
"28.09.2020","38,95","38,38","39,24","38,31","13,30M","1,43%"
"25.09.2020","38,40","38,01","38,77","37,83","18,09M","0,87%"
"24.09.2020","38,07","39,47","39,47","37,60","27,60M","-3,04%"
"23.09.2020","39,26","38,90","40,04","38,63","32,96M","0,90%"
"22.09.2020","38,92","38,74","39,15","38,06","32,82M","-1,51%"
"21.09.2020","39,51","39,61","39,90","39,04","20,40M","-0,25%"
"18.09.2020","39,61","39,33","39,97","38,97","26,10M","0,66%"
"17.09.2020","39,35","38,56","39,65","38,24","22,38M","2,17%"
"16.09.2020","38,51","39,19","39,24","38,35","15,70M","-1,55%"
"15.09.2020","39,12","38,70","39,35","38,51","21,90M","1,27%"
"14.09.2020","38,63","37,22","38,69","37,22","24,33M","3,18%"
"11.09.2020","37,44","37,10","37,65","36,89","24,73M","1,24%"
"10.09.2020","36,98","37,51","37,56","36,53","20,15M","-1,33%"
"09.09.2020","37,48","36,35","37,52","36,21","22,08M","3,09%"
"08.09.2020","36,35","36,99","37,18","36,15","27,86M","-1,56%"
"07.09.2020","36,93","37,01","37,42","36,66","15,92M","-0,71%"
"04.09.2020","37,19","36,90","37,44","36,90","13,61M","0,61%"
"03.09.2020","36,97","37,65","37,74","36,85","20,01M","-1,88%"
"02.09.2020","37,68","38,30","38,38","37,33","25,19M","-1,70%"
"01.09.2020","38,33","37,99","38,34","37,65","12,00M","1,27%"
"31.08.2020","37,85","38,65","38,85","37,55","24,17M","-1,94%"
"28.08.2020","38,60","38,90","38,90","38,33","10,46M","-0,58%"
"27.08.2020","38,83","39,55","39,67","38,58","12,90M","-1,92%"
"26.08.2020","39,58","39,51","39,79","39,44","7,07M","-0,11%"
"25.08.2020","39,63","39,74","39,95","39,39","9,41M","-0,38%"
"24.08.2020","39,78","39,86","40,04","39,59","5,15M","0,29%"
"21.08.2020","39,67","40,02","40,19","39,31","9,75M","-0,56%"
"20.08.2020","39,89","40,30","40,35","39,70","10,98M","-1,18%"
"19.08.2020","40,37","39,51","40,79","39,42","24,86M","2,18%"
"18.08.2020","39,51","40,00","40,02","39,40","11,79M","-1,24%"
"17.08.2020","40,00","40,00","40,17","39,65","9,22M","0,21%"
"14.08.2020","39,92","40,21","40,21","39,60","17,91M","-0,47%"
"13.08.2020","40,10","40,17","40,38","39,68","21,28M","0,05%"
"12.08.2020","40,08","39,40","40,99","39,19","20,89M","1,76%"
"11.08.2020","39,39","39,65","39,65","39,34","14,24M","-0,37%"
"10.08.2020","39,53","39,63","39,74","39,30","7,60M","-0,20%"
"07.08.2020","39,62","40,00","40,08","39,25","6,85M","-0,97%"
"06.08.2020","40,01","40,18","40,46","39,65","16,60M","-0,42%"
"05.08.2020","40,17","40,31","40,38","39,96","14,01M","0,20%"
"04.08.2020","40,10","39,90","40,31","39,55","16,28M","0,84%"
"03.08.2020","39,76","39,85","40,10","39,50","9,18M","-0,50%"
"31.07.2020","39,96","39,28","39,96","38,77","21,19M","1,72%"
"30.07.2020","39,28","39,90","39,94","38,64","18,77M","-1,54%"
"29.07.2020","39,90","40,25","40,25","39,31","19,64M","-1,23%"
"28.07.2020","40,40","39,21","40,44","39,21","22,47M","3,25%"
"27.07.2020","39,13","39,30","39,83","39,06","21,37M","-0,09%"
"24.07.2020","39,16","38,50","39,16","38,22","13,89M","0,93%"
"23.07.2020","38,80","38,80","39,13","38,60","7,72M","0,03%"
"22.07.2020","38,79","39,24","39,24","38,40","15,61M","-0,94%"
"21.07.2020","39,16","38,47","39,30","38,41","17,96M","2,25%"
"20.07.2020","38,30","38,20","38,40","37,77","9,87M","0,52%"
"17.07.2020","38,10","38,49","38,63","37,92","9,64M","-0,59%"
"16.07.2020","38,33","38,71","39,17","38,28","15,65M","-1,73%"
"15.07.2020","39,00","38,69","39,06","38,40","15,06M","1,11%"
"14.07.2020","38,57","37,75","38,57","37,31","15,50M","2,39%"
"13.07.2020","37,67","38,65","38,93","37,67","16,17M","-2,51%"
"10.07.2020","38,64","38,51","38,67","38,31","5,75M","-0,09%"
"09.07.2020","38,67","38,56","38,76","38,26","11,59M","0,95%"
"08.07.2020","38,31","38,14","38,60","38,07","9,10M","0,45%"
"07.07.2020","38,14","38,69","38,94","37,92","20,37M","-1,09%"
"06.07.2020","38,56","38,01","38,96","38,01","16,57M","1,61%"
"03.07.2020","37,95","37,82","38,26","37,63","13,65M","0,92%"
"02.07.2020","37,60","37,16","37,80","37,16","17,88M","1,68%"
"30.06.2020","36,99","37,35","37,81","36,99","21,20M","-0,58%"
"29.06.2020","37,20","37,48","37,85","37,16","12,01M","-1,35%"
"26.06.2020","37,71","37,99","38,10","37,33","16,23M","0,00%"
"25.06.2020","37,71","38,71","38,71","37,57","31,40M","-3,33%"
"23.06.2020","39,01","39,57","39,72","38,92","10,59M","-0,93%"
"22.06.2020","39,38","39,65","39,65","38,90","11,42M","-1,14%"
"19.06.2020","39,83","40,00","40,12","39,75","21,80M","0,58%"
"18.06.2020","39,60","39,31","39,84","39,13","11,11M","0,72%"
"17.06.2020","39,31","39,89","40,44","39,31","10,29M","-1,52%"
"16.06.2020","39,92","39,15","41,02","39,05","21,48M","-1,55%"
"15.06.2020","40,55","40,80","40,80","39,96","19,11M","-1,29%"
"11.06.2020","41,08","42,50","42,50","40,91","13,79M","-3,97%"
"10.06.2020","42,78","42,42","43,83","42,12","15,22M","0,34%"
"09.06.2020","42,63","42,76","42,95","41,56","14,58M","-0,83%"
"08.06.2020","42,99","42,75","43,20","42,23","8,22M","1,14%"
"05.06.2020","42,51","42,63","42,99","42,27","4,93M","-0,04%"
"04.06.2020","42,52","42,60","43,13","41,81","12,69M","-0,15%"
"03.06.2020","42,58","41,80","43,25","41,60","15,83M","2,37%"
"02.06.2020","41,60","41,01","41,78","40,95","10,10M","1,46%"
